words,Count
murder,16
badly,15
suicide,16
lack,45
deadly,32
crisis,153
hard,78
broken,1
upset,4
died,8
fall,10
stuck,3
losing,1
worried,2
bloated,1
lost,56
disbelief,1
jealous,1
virus,3
critical,32
terrible,4
picky,5
sorry,4
chill,1
anxiety,1
dire,5
lie,1
biased,5
contagious,1
mad,16
emergency,27
racism,3
problem,1
weed,2
mar,2
funny,3
wrong,4
assault,1
criminal,1
offence,1
famine,1
accusations,1
misleading,1
disrupt,1
deaf,15
bored,2
toll,9
delayed,3
isolation,1
insecurity,3
moronic,3
attack,9
scratch,1
crap,1
sucks,1
noise,1
restrict,1
issue,7
weird,3
breaking,18
fatally,2
sacrificed,3
scam,2
ploy,1
isolated,2
warned,35
loss,36
stress,1
strain,1
broke,1
dumping,1
traitor,1
puppet,1
worse,1
unexpected,1
damn,4
freaking,1
challenging,4
loud,1
idiot,8
fuck,2
bad,14
misconceptions,2
warning,3
problems,3
joke,1
complaints,1
stringent,1
blurred,2
curse,1
stigma,1
spoil,1
break,2
failed,2
fell,1
dead,1
fearful,1
scum,1
refuses,1
debt,1
refused,4
degenerate,1
miss,4
lying,9
sick,15
cancer,2
outrage,1
obscenely,1
complex,1
risk,4
precarious,3
infection,1
begging,5
fucking,1
hating,2
disagree,1
afraid,1
wild,2
rumours,2
worrying,1
violent,2
negative,1
plague,1
kills,3
threat,1
impossible,2
ruined,1
dangerous,1
expensive,1
falling,1
failing,1
nonsense,1
stupid,1
death,1
exhausted,2
lose,1
redundant,2
rip,1
problematic,1
denied,1
injury,1
crazy,1
hell,1
scariest,1
ridiculous,1
disgrace,1
fraud,1
vulnerable,5
slowly,1
hurting,1
resistance,1
cheap,1
worries,1
falls,1
outbreak,4
inhumane,1
tired,1
worst,1
ignorance,1
opposition,1
offender,1
stink,1
bizarre,1
bother,1
disgusted,1
uneasy,1
burning,1
missed,1
rape,1
distress,1
falsely,1
unsure,1
collapse,1
unable,1
embarrassment,1
poor,4
depression,1
difficult,2
shame,1
poison,2
ignorant,1
sack,1
disaster,1
discomfort,1
imposing,2
concerned,1
dim,1
cheesy,1
lies,1
worry,1
enemies,1
fault,2
